capacity,gap,owner,wide,live,schema,number,repetition,mean_ns,lower_ns,upper_ns,iterations,samples,base,bytes,extra_bytes,actual_capacity,schema_name,layout_identity,layout_policy,gap_extra_bytes,cpu_group,cpu,cpu_before,cpu_after
131072,0,0,0,65535,3,18,0,1930885.0,1914261.0,1955761.0,1.0,100.0,5454373584896,141557760,0,131072,SpacingAligned,32372e5044f7e72d3b5235ce8728f8ec0e8916a68d79f5a9067919e4720a9fd5,sequential,0,0,2,0:2,0:2
131072,192,0,0,65535,1,19,0,1582676.0,1570690.0,1598139.0,1.0,100.0,3297998733312,25170240,4416,131072,SpacingDoubles,b17213b9a0ed544c9182353ab0bf2efe81ddc9a649b51b66324b83a7cbba9d76,sequential,4416,0,2,0:2,0:2
131072,64,0,1,65535,2,20,0,19100029.0,19073770.0,19125689.0,1.0,100.0,4096862650368,23595584,2624,131072,SpacingMixedWidths,e2f251cca1b44ec0fb84704536321919fef894fe7885d34a8154e0c5eeaa6353,sequential,2624,0,2,0:2,0:2
65600,0,0,0,65535,0,21,0,440904.0,433091.0,451047.0,1.0,100.0,2680597184512,12792000,0,65600,EntityData,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,sequential,0,0,2,0:2,0:2
65536,0,0,1,65535,3,22,0,6446823.0,6427769.0,6471606.0,1.0,100.0,5844410302464,70778880,0,65536,SpacingAligned,338c71335dd48adf8238e47637756c26155e914fb6a986154db9c4ca1fa411c3,sequential,0,0,2,0:2,0:2
131072,0,0,0,65535,1,23,0,1591560.0,1577965.0,1611544.0,1.0,100.0,5885448093696,25165824,0,131072,SpacingDoubles,e7e9c7a70ea87fa46966e3ea2d5a377aef59ded056c2d1680f9e7b1789b85f83,sequential,0,0,2,0:2,0:2
65600,64,0,0,65535,0,24,0,438519.0,431422.0,448428.0,1.0,100.0,2226135957504,12795328,3328,65600,EntityData,5ab1ef25bc4aa0c87e894c34bb7b597f2b9e23f98e207e2fff207b6e126014e0,sequential,3328,0,2,0:2,0:2
131072,64,0,0,65535,2,25,0,2864618.0,2849531.0,2882796.0,1.0,100.0,5248450756608,23595584,2624,131072,SpacingMixedWidths,e2f251cca1b44ec0fb84704536321919fef894fe7885d34a8154e0c5eeaa6353,sequential,2624,0,2,0:2,0:2
131072,0,0,1,65535,3,26,0,6721883.0,6703350.0,6741515.0,1.0,100.0,5287675166720,141557760,0,131072,SpacingAligned,32372e5044f7e72d3b5235ce8728f8ec0e8916a68d79f5a9067919e4720a9fd5,sequential,0,0,2,0:2,0:2
131072,192,0,1,65535,1,27,0,6177914.0,6159381.0,6208114.0,1.0,100.0,2763543740416,25170240,4416,131072,SpacingDoubles,b17213b9a0ed544c9182353ab0bf2efe81ddc9a649b51b66324b83a7cbba9d76,sequential,4416,0,2,0:2,0:2
65600,0,0,1,65535,0,28,0,1434081.0,1420387.0,1452391.0,1.0,100.0,3856076046336,12792000,0,65600,EntityData,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,sequential,0,0,2,0:2,0:2
75008,0,0,1,65535,3,29,0,6115409.0,6086290.0,6158796.0,1.0,100.0,2488698667008,81008640,0,75008,SpacingAligned,866dedef4a8dfe2ed904bd3317c79496da8a29b4c9f81ca92e78c95dd73b8622,sequential,0,0,2,0:2,0:2
65536,192,0,1,65535,2,30,0,19055272.0,19032203.0,19076762.0,1.0,100.0,2448132079616,11804352,7872,65536,SpacingMixedWidths,bc058495a7bec66734ee3446e056ecffdec75def6fec55e66c1890491df2e6b0,sequential,7872,0,2,0:2,0:2
65600,0,1,0,65535,0,31,0,446417.0,438449.0,456386.0,1.0,100.0,3055869952000,12792000,0,65600,EntityData,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,generated-blocks,,0,2,0:2,0:2
131072,0,0,0,65535,2,32,0,2885294.0,2870076.0,2905365.0,1.0,100.0,5509638455296,23592960,0,131072,SpacingMixedWidths,ebfe0a453dfbe601c633cbb71f1134e98ae00494a7a79bb3cb7901969cf600ce,sequential,0,0,2,0:2,0:2
75008,0,0,0,65535,0,33,0,441342.0,433259.0,452020.0,1.0,100.0,3237063884800,14626560,0,75008,EntityData,01c47a39851c7b9c284ee6d77c16943e1a2bd9058ebdc31e5bd779fc434fee25,sequential,0,0,2,0:2,0:2
65536,64,0,1,65535,2,34,0,19079247.0,19054545.0,19103234.0,1.0,100.0,4991826460672,11799104,2624,65536,SpacingMixedWidths,f15f240ae3f5dad2e8c609539477d3440b580229ec9847a27f83b285d1f47522,sequential,2624,0,2,0:2,0:2
65536,0,2,1,65535,0,35,0,6889178.0,6871758.0,6906989.0,1.0,100.0,0,12779520,,65536,EntityData,separate-arrays,TArray,,0,2,0:2,0:2
65536,64,0,1,65535,1,36,0,6204981.0,6182354.0,6242809.0,1.0,100.0,4477235691520,12584384,1472,65536,SpacingDoubles,6a784259155b7cab5390e3bebb706e2d9406dbaa4c293fbed535e14f1725a896,sequential,1472,0,2,0:2,0:2
75008,0,0,1,65535,0,37,0,1445207.0,1430881.0,1465151.0,1.0,100.0,5196374278144,14626560,0,75008,EntityData,01c47a39851c7b9c284ee6d77c16943e1a2bd9058ebdc31e5bd779fc434fee25,sequential,0,0,2,0:2,0:2
131072,192,0,0,65535,2,38,0,2864974.0,2850722.0,2881964.0,1.0,100.0,5717139062784,23600832,7872,131072,SpacingMixedWidths,33ff3b7b3dce6c63644c060e613be345b998af756ff567a0592129b683d7a115,sequential,7872,0,2,0:2,0:2
131072,64,0,1,65535,0,39,0,1415382.0,1402325.0,1432215.0,1.0,100.0,5311533088768,25562368,3328,131072,EntityData,1dda6701852a50c523b06c841bc01307dc1073be6ca9271e941e6f592c6f3ade,sequential,3328,0,2,0:2,0:2
65536,192,0,0,65535,3,40,0,1944700.0,1926555.0,1972557.0,1.0,100.0,3456140050432,70781696,2816,65536,SpacingAligned,0a99ec47e2daa1a3900cf8199331623ddfcce64a5ef985d6ed513e4b4c2da9b0,sequential,2816,0,2,0:2,0:2
75008,64,0,0,65535,2,41,0,2875473.0,2861418.0,2892014.0,1.0,100.0,4155113144320,13504064,2624,75008,SpacingMixedWidths,05dd539351809feeff659f1528354aa929f17975b0bbe540f8207e118a795b03,sequential,2624,0,2,0:2,0:2
100032,192,0,1,65535,0,42,0,1417091.0,1402741.0,1436055.0,1.0,100.0,6063420801024,19516224,9984,100032,EntityData,b34053a8df6cd9da337730b3d9eecbbd16ba5a540e9d3ed8596c9af1a043739e,sequential,9984,0,2,0:2,0:2
65536,0,1,0,65535,0,43,0,451923.0,445130.0,460730.0,1.0,100.0,4795063271424,12779520,0,65536,EntityData,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,generated-blocks,,0,2,0:2,0:2
75008,192,0,1,65535,3,44,0,5651896.0,5627814.0,5695561.0,1.0,100.0,4382510809088,81011456,2816,75008,SpacingAligned,545f9e8359bc0a079c02df71d5feff2d453b610a6eec87ea3c3c6611c145cfaf,sequential,2816,0,2,0:2,0:2
75008,64,0,1,65535,2,45,0,19070813.0,19045155.0,19093925.0,1.0,100.0,5093026627584,13504064,2624,75008,SpacingMixedWidths,05dd539351809feeff659f1528354aa929f17975b0bbe540f8207e118a795b03,sequential,2624,0,2,0:2,0:2
131072,192,0,0,65535,3,46,0,1925854.0,1911064.0,1945251.0,1.0,100.0,3227433041920,141560576,2816,131072,SpacingAligned,a087e2f07a100609091ee83ed2155be5ee9c5e1818487c8c303824fd1fa9236e,sequential,2816,0,2,0:2,0:2
100032,0,1,1,65535,0,47,0,1429266.0,1416684.0,1445693.0,1.0,100.0,4756140130304,19506240,0,100032,EntityData,36dde4095b4ac1649c44744a7767196705ff15a85de86c7acaa4b17ba255290d,generated-blocks,,0,2,0:2,0:2
131072,0,0,1,65535,2,48,0,19680692.0,19654409.0,19708073.0,1.0,100.0,3897415106560,23592960,0,131072,SpacingMixedWidths,ebfe0a453dfbe601c633cbb71f1134e98ae00494a7a79bb3cb7901969cf600ce,sequential,0,0,2,0:2,0:2
75008,0,0,0,65535,2,49,0,2832737.0,2818915.0,2850968.0,1.0,100.0,6560563265536,13501440,0,75008,SpacingMixedWidths,08d0c4171860c9ab0b31f49d80c8db6778a09e5530670d44739d8d64041a3ba9,sequential,0,0,2,0:2,0:2
65536,0,0,0,65535,0,50,0,454809.0,447106.0,466059.0,1.0,100.0,3823595356160,12779520,0,65536,EntityData,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,sequential,0,0,2,0:2,0:2
75008,0,0,1,65535,1,51,0,6269645.0,6244671.0,6322833.0,1.0,100.0,3694477901824,14401536,0,75008,SpacingDoubles,6b0a82c2f05a9c661d9287e953947f6cf0566f94ad61f708418a28d05c9165fb,sequential,0,0,2,0:2,0:2
75008,64,0,0,65535,0,52,0,433796.0,427114.0,444366.0,1.0,100.0,5489237360640,14629888,3328,75008,EntityData,bc2c649030a04f2bb93647001e3773c6d2bd952ac54c710ca8e92f2d8d2af5a8,sequential,3328,0,2,0:2,0:2
75008,192,0,0,65535,2,53,0,2871693.0,2855777.0,2893930.0,1.0,100.0,2544500408320,13509312,7872,75008,SpacingMixedWidths,d27bcf064d3259430b9c898e10c1706e1061b1e2d83ce3b828bac4ed72e97563,sequential,7872,0,2,0:2,0:2
65536,64,0,0,65535,3,54,0,1944523.0,1930163.0,1963438.0,1.0,100.0,4774426574848,70780160,1280,65536,SpacingAligned,1bf4cb7877d15faad8cf81231a3b2b57257d083cebe8404e5d61c398eaded44a,sequential,1280,0,2,0:2,0:2
65600,0,1,1,65535,0,55,0,1431807.0,1418660.0,1450331.0,1.0,100.0,3946270359552,12792000,0,65600,EntityData,25ca30a97437cdd9d7a413737050d2561c3bde235fd922d7d53dfba70d996b83,generated-blocks,,0,2,0:2,0:2
100032,0,0,1,65535,0,56,0,1439626.0,1424920.0,1459176.0,1.0,100.0,2521146523648,19506240,0,100032,EntityData,36dde4095b4ac1649c44744a7767196705ff15a85de86c7acaa4b17ba255290d,sequential,0,0,2,0:2,0:2
65536,64,0,1,65535,0,57,0,1408558.0,1395460.0,1425160.0,1.0,100.0,5980205809664,12782848,3328,65536,EntityData,67680f90c6987605b76438a85837c4e0048e341323206b1967dd32bcb46027d4,sequential,3328,0,2,0:2,0:2
65536,0,0,1,65535,0,58,0,7264987.0,7248738.0,7280406.0,1.0,100.0,3892851703808,12779520,0,65536,EntityData,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,sequential,0,0,2,0:2,0:2
65536,64,0,0,65535,0,59,0,430215.0,424052.0,438589.0,1.0,100.0,2307740336128,12782848,3328,65536,EntityData,67680f90c6987605b76438a85837c4e0048e341323206b1967dd32bcb46027d4,sequential,3328,0,2,0:2,0:2
65536,192,0,0,65535,2,60,0,2839198.0,2823550.0,2858599.0,1.0,100.0,5978326761472,11804352,7872,65536,SpacingMixedWidths,bc058495a7bec66734ee3446e056ecffdec75def6fec55e66c1890491df2e6b0,sequential,7872,0,2,0:2,0:2
75008,0,0,1,65535,2,61,0,19096291.0,19070049.0,19121703.0,1.0,100.0,3969087373312,13501440,0,75008,SpacingMixedWidths,08d0c4171860c9ab0b31f49d80c8db6778a09e5530670d44739d8d64041a3ba9,sequential,0,0,2,0:2,0:2
131072,0,0,1,65535,1,62,0,11400780.0,11389027.0,11412836.0,1.0,100.0,6251325620224,25165824,0,131072,SpacingDoubles,e7e9c7a70ea87fa46966e3ea2d5a377aef59ded056c2d1680f9e7b1789b85f83,sequential,0,0,2,0:2,0:2
131072,0,1,0,65535,0,63,0,455830.0,447813.0,465947.0,1.0,100.0,4809290350592,25559040,0,131072,EntityData,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,generated-blocks,,0,2,0:2,0:2
131072,64,0,0,65535,3,64,0,3239929.0,3226650.0,3255113.0,1.0,100.0,4628934557696,141559040,1280,131072,SpacingAligned,a9738a9547b60d1e94396fc01e7fe231dc85fbf8b6ddf37343fb9e5b8d069d44,sequential,1280,0,2,0:2,0:2
75008,64,0,0,65535,1,65,0,1578054.0,1566239.0,1592996.0,1.0,100.0,2751195709440,14403008,1472,75008,SpacingDoubles,1004be3af5f56123d5f56e1c1f106c42e148d09e52e3da68d4c8d9a436aa5d3e,sequential,1472,0,2,0:2,0:2
65536,0,1,1,65535,0,66,0,7268687.0,7252266.0,7285049.0,1.0,100.0,4757482307584,12779520,0,65536,EntityData,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,generated-blocks,,0,2,0:2,0:2
131072,192,0,1,65535,2,67,0,19034754.0,19007732.0,19061477.0,1.0,100.0,2327067688960,23600832,7872,131072,SpacingMixedWidths,33ff3b7b3dce6c63644c060e613be345b998af756ff567a0592129b683d7a115,sequential,7872,0,2,0:2,0:2
65536,192,0,1,65535,0,68,0,1408607.0,1394969.0,1426199.0,1.0,100.0,6217234317312,12789504,9984,65536,EntityData,cd80c443f151b87327574f332a83bf153260b4de10bcd5811bb1061e857e8335,sequential,9984,0,2,0:2,0:2
75008,0,0,0,65535,3,69,0,1928922.0,1915070.0,1947116.0,1.0,100.0,6081170374656,81008640,0,75008,SpacingAligned,866dedef4a8dfe2ed904bd3317c79496da8a29b4c9f81ca92e78c95dd73b8622,sequential,0,0,2,0:2,0:2
131072,192,0,0,65535,0,70,0,438760.0,431800.0,448813.0,1.0,100.0,3216662790144,25569024,9984,131072,EntityData,14b9ffb9968bdaa0db82ce2ff5e8b06cb5d31a5f94b416318bcc018b2de3ae34,sequential,9984,0,2,0:2,0:2
131072,0,0,0,65535,0,71,0,453509.0,446248.0,463556.0,1.0,100.0,3580392833024,25559040,0,131072,EntityData,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,sequential,0,0,2,0:2,0:2
65536,192,0,0,65535,0,72,0,438942.0,431679.0,448485.0,1.0,100.0,4272151003136,12789504,9984,65536,EntityData,cd80c443f151b87327574f332a83bf153260b4de10bcd5811bb1061e857e8335,sequential,9984,0,2,0:2,0:2
65536,0,0,1,65535,2,73,0,19529097.0,19501793.0,19555629.0,1.0,100.0,2217277587456,11796480,0,65536,SpacingMixedWidths,823fc9c67bc9802bfa9bf7ac0e3e495da693525001742f7590fe9e8b37f3d502,sequential,0,0,2,0:2,0:2
75008,64,0,1,65535,1,74,0,6194207.0,6173129.0,6235409.0,1.0,100.0,3761318330368,14403008,1472,75008,SpacingDoubles,1004be3af5f56123d5f56e1c1f106c42e148d09e52e3da68d4c8d9a436aa5d3e,sequential,1472,0,2,0:2,0:2
75008,64,0,0,65535,3,75,0,1920483.0,1905693.0,1941269.0,1.0,100.0,4159977816064,81009920,1280,75008,SpacingAligned,3db1ebee56aeb8d7ed0a4a13d289bc3f5ceed6c1824c0655dbf6000822bced39,sequential,1280,0,2,0:2,0:2
75008,192,0,1,65535,1,76,0,6182868.0,6163543.0,6213761.0,1.0,100.0,2387465666560,14405952,4416,75008,SpacingDoubles,2683b9e0044a7bc4263486a0e906f67cb0288607fc269d1ec7e3203ad11dba2e,sequential,4416,0,2,0:2,0:2
65536,0,0,0,65535,3,77,0,2052277.0,2040593.0,2067729.0,1.0,100.0,4190311022592,70778880,0,65536,SpacingAligned,338c71335dd48adf8238e47637756c26155e914fb6a986154db9c4ca1fa411c3,sequential,0,0,2,0:2,0:2
65536,0,2,0,65535,0,78,0,455683.0,447755.0,465533.0,1.0,100.0,0,12779520,,65536,EntityData,separate-arrays,TArray,,0,2,0:2,0:2
65600,192,0,0,65535,0,79,0,438348.0,431053.0,448052.0,1.0,100.0,2626104786944,12801984,9984,65600,EntityData,f0ceb346f04150235393fdb1be3e7da3d23024673d9c58e1351606fcb8ed79b5,sequential,9984,0,2,0:2,0:2
131072,64,0,1,65535,3,80,0,5681322.0,5657479.0,5722394.0,1.0,100.0,5609529278464,141559040,1280,131072,SpacingAligned,a9738a9547b60d1e94396fc01e7fe231dc85fbf8b6ddf37343fb9e5b8d069d44,sequential,1280,0,2,0:2,0:2
100032,0,1,0,65535,0,81,0,436982.0,430531.0,445218.0,1.0,100.0,6228508606464,19506240,0,100032,EntityData,36dde4095b4ac1649c44744a7767196705ff15a85de86c7acaa4b17ba255290d,generated-blocks,,0,2,0:2,0:2
131072,0,0,1,65535,0,82,0,7366541.0,7349346.0,7383227.0,1.0,100.0,6271726714880,25559040,0,131072,EntityData,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,sequential,0,0,2,0:2,0:2
65536,64,0,0,65535,2,83,0,2885579.0,2869326.0,2907661.0,1.0,100.0,4313758498816,11799104,2624,65536,SpacingMixedWidths,f15f240ae3f5dad2e8c609539477d3440b580229ec9847a27f83b285d1f47522,sequential,2624,0,2,0:2,0:2
75008,0,0,0,65535,1,84,0,1583289.0,1571241.0,1599310.0,1.0,100.0,2403571793920,14401536,0,75008,SpacingDoubles,6b0a82c2f05a9c661d9287e953947f6cf0566f94ad61f708418a28d05c9165fb,sequential,0,0,2,0:2,0:2
131072,192,0,1,65535,0,85,0,1410907.0,1396773.0,1429800.0,1.0,100.0,2710125084672,25569024,9984,131072,EntityData,14b9ffb9968bdaa0db82ce2ff5e8b06cb5d31a5f94b416318bcc018b2de3ae34,sequential,9984,0,2,0:2,0:2
65600,64,0,1,65535,0,86,0,1402737.0,1388876.0,1420509.0,1.0,100.0,6425808666624,12795328,3328,65600,EntityData,5ab1ef25bc4aa0c87e894c34bb7b597f2b9e23f98e207e2fff207b6e126014e0,sequential,3328,0,2,0:2,0:2
100032,0,0,0,65535,0,87,0,437234.0,429881.0,446739.0,1.0,100.0,4348655108096,19506240,0,100032,EntityData,36dde4095b4ac1649c44744a7767196705ff15a85de86c7acaa4b17ba255290d,sequential,0,0,2,0:2,0:2
75008,192,0,1,65535,0,88,0,1409424.0,1394933.0,1428134.0,1.0,100.0,3350880518144,14636544,9984,75008,EntityData,6153efde23579659bfcdfcdfee76fb7ec5ff3b4182a178e6c86246d980f85b5c,sequential,9984,0,2,0:2,0:2
131072,64,0,0,65535,0,89,0,437968.0,430453.0,448838.0,1.0,100.0,6354136399872,25562368,3328,131072,EntityData,1dda6701852a50c523b06c841bc01307dc1073be6ca9271e941e6f592c6f3ade,sequential,3328,0,2,0:2,0:2
75008,192,0,0,65535,0,90,0,435870.0,428711.0,445327.0,1.0,100.0,2827162943488,14636544,9984,75008,EntityData,6153efde23579659bfcdfcdfee76fb7ec5ff3b4182a178e6c86246d980f85b5c,sequential,9984,0,2,0:2,0:2
131072,0,1,1,65535,0,91,0,7395742.0,7377466.0,7413101.0,1.0,100.0,5596611543040,25559040,0,131072,EntityData,f1c3e3dff5800203263451b0fb571291498336b4c010846051040461e3bcb3ac,generated-blocks,,0,2,0:2,0:2
65600,192,0,1,65535,0,92,0,1407144.0,1393504.0,1424615.0,1.0,100.0,2702340456448,12801984,9984,65600,EntityData,f0ceb346f04150235393fdb1be3e7da3d23024673d9c58e1351606fcb8ed79b5,sequential,9984,0,2,0:2,0:2
65536,0,0,1,65535,1,93,0,11353710.0,11343535.0,11365076.0,1.0,100.0,3453422862336,12582912,0,65536,SpacingDoubles,84ef08df3d68d2c6e99ca7856f527abcf0f2a4fda49c3ebfcbfc6e7a74a95b20,sequential,0,0,2,0:2,0:2
100032,192,0,0,65535,0,94,0,433608.0,426560.0,442250.0,1.0,100.0,2632278802432,19516224,9984,100032,EntityData,b34053a8df6cd9da337730b3d9eecbbd16ba5a540e9d3ed8596c9af1a043739e,sequential,9984,0,2,0:2,0:2
65536,64,0,1,65535,3,95,0,5744842.0,5708754.0,5808622.0,1.0,100.0,5664290111488,70780160,1280,65536,SpacingAligned,1bf4cb7877d15faad8cf81231a3b2b57257d083cebe8404e5d61c398eaded44a,sequential,1280,0,2,0:2,0:2
75008,192,0,0,65535,1,96,0,1583692.0,1570890.0,1601235.0,1.0,100.0,5450314219520,14405952,4416,75008,SpacingDoubles,2683b9e0044a7bc4263486a0e906f67cb0288607fc269d1ec7e3203ad11dba2e,sequential,4416,0,2,0:2,0:2
65536,192,0,0,65535,3,97,1,1897983.0,1884255.0,1915781.0,1.0,100.0,4561288822784,70781696,2816,65536,SpacingAligned,0a99ec47e2daa1a3900cf8199331623ddfcce64a5ef985d6ed513e4b4c2da9b0,sequential,2816,0,2,0:2,0:2
131072,192,0,0,65535,1,98,1,1575852.0,1563500.0,1592465.0,1.0,100.0,6372658446336,25170240,4416,131072,SpacingDoubles,b17213b9a0ed544c9182353ab0bf2efe81ddc9a649b51b66324b83a7cbba9d76,sequential,4416,0,2,0:2,0:2
65536,64,0,0,65535,3,99,1,1879576.0,1865542.0,1896977.0,1.0,100.0,2450312396800,70780160,1280,65536,SpacingAligned,1bf4cb7877d15faad8cf81231a3b2b57257d083cebe8404e5d61c398eaded44a,sequential,1280,0,2,0:2,0:2
75008,64,0,0,65535,0,100,1,440046.0,432732.0,450809.0,1.0,100.0,5166309507072,14629888,3328,75008,EntityData,bc2c649030a04f2bb93647001e3773c6d2bd952ac54c710ca8e92f2d8d2af5a8,sequential,3328,0,2,0:2,0:2
65536,64,0,1,65535,1,101,1,6212433.0,6190070.0,6247549.0,1.0,100.0,6225824251904,12584384,1472,65536,SpacingDoubles,6a784259155b7cab5390e3bebb706e2d9406dbaa4c293fbed535e14f1725a896,sequential,1472,0,2,0:2,0:2
65536,0,1,0,65535,0,102,1,454847.0,446865.0,465891.0,1.0,100.0,5674726260736,12779520,0,65536,EntityData,bcb3a6cfd69d90dc510468b1d8b6e34e70f2aa7dbed6cc6021dcca8245b6b558,generated-blocks,,0,2,0:2,0:2
65536,192,0,0,65535,0,103,1,437082.0,430037.0,446106.0,1.0,100.0,2455916707840,12789504,9984,65536,EntityData,cd80c443f151b87327574f332a83bf153260b4de10bcd5811bb1061e857e8335,sequential,9984,0,2,0:2,0:2
75008,192,0,1,65535,2,104,1,19098248.0,19073038.0,19132236.0,1.0,100.0,2738310807552,13509312,7872,75008,SpacingMixedWidths,d27bcf064d3259430b9c898e10c1706e1061b1e2d83ce3b828bac4ed72e97563,sequential,7872,0,2,0:2,0:2
131072,0,0,1,65535,3,105,1,5666457.0,5642418.0,5711314.0,1.0,100.0,4233260695552,141557760,0,131072,SpacingAligned,32372e5044f7e72d3b5235ce8728f8ec0e8916a68d79f5a9067919e4720a9fd5,sequential,0,0,2,0:2,0:2
75008,64,0,0,65535,2,106,1,2873010.0,2857586.0,2893940.0,1.0,100.0,5434208092160,13504064,2624,75008,SpacingMixedWidths,05dd539351809feeff659f1528354aa929f17975b0bbe540f8207e118a795b03,sequential,2624,0,2,0:2,0:2
75008,64,0,1,65535,3,107,1,5677255.0,5649981.0,5730157.0,1.0,100.0,2906652672000,81009920,1280,75008,SpacingAligned,3db1ebee56aeb8d7ed0a4a13d289bc3f5ceed6c1824c0655dbf6000822bced39,sequential,1280,0,2,0:2,0:2
